"Time","signing","verifying"
2025-09-10 18:44:15,459 ms,229 ms
2025-09-10 18:44:20,459 ms,229 ms
2025-09-10 18:44:25,460 ms,229 ms
2025-09-10 18:44:30,460 ms,229 ms
2025-09-10 18:44:35,460 ms,229 ms
2025-09-10 18:44:40,460 ms,229 ms
2025-09-10 18:44:45,460 ms,230 ms
2025-09-10 18:44:50,460 ms,230 ms
2025-09-10 18:44:55,461 ms,230 ms
2025-09-10 18:45:00,461 ms,230 ms
2025-09-10 18:45:05,462 ms,230 ms
2025-09-10 18:45:10,462 ms,230 ms
2025-09-10 18:45:15,463 ms,231 ms
2025-09-10 18:45:20,463 ms,231 ms
2025-09-10 18:45:25,462 ms,231 ms
2025-09-10 18:45:30,462 ms,231 ms
2025-09-10 18:45:35,463 ms,231 ms
2025-09-10 18:45:40,463 ms,231 ms
2025-09-10 18:45:45,463 ms,232 ms
2025-09-10 18:45:50,463 ms,232 ms
2025-09-10 18:45:55,464 ms,232 ms
2025-09-10 18:46:00,464 ms,232 ms
2025-09-10 18:46:05,464 ms,233 ms
2025-09-10 18:46:10,464 ms,233 ms
2025-09-10 18:46:15,464 ms,233 ms
2025-09-10 18:46:20,464 ms,233 ms
2025-09-10 18:46:25,464 ms,233 ms
2025-09-10 18:46:30,464 ms,233 ms
2025-09-10 18:46:35,465 ms,233 ms
2025-09-10 18:46:40,465 ms,233 ms
2025-09-10 18:46:45,466 ms,233 ms
2025-09-10 18:46:50,466 ms,233 ms
2025-09-10 18:46:55,466 ms,233 ms
2025-09-10 18:47:00,466 ms,233 ms
2025-09-10 18:47:05,466 ms,233 ms
2025-09-10 18:47:10,466 ms,233 ms
2025-09-10 18:47:15,466 ms,234 ms
2025-09-10 18:47:20,466 ms,234 ms
2025-09-10 18:47:25,466 ms,234 ms
