"Time","verifying"
2025-09-10 16:59:30,84.9 ms
2025-09-10 16:59:35,84.9 ms
2025-09-10 16:59:40,84.9 ms
2025-09-10 16:59:45,84.9 ms
2025-09-10 16:59:50,85.0 ms
2025-09-10 16:59:55,85.0 ms
2025-09-10 17:00:00,85.3 ms
2025-09-10 17:00:05,85.3 ms
2025-09-10 17:00:10,85.3 ms
2025-09-10 17:00:15,85.3 ms
2025-09-10 17:00:20,85.3 ms
2025-09-10 17:00:25,85.3 ms
2025-09-10 17:00:30,85.5 ms
2025-09-10 17:00:35,85.5 ms
2025-09-10 17:00:40,85.6 ms
2025-09-10 17:00:45,85.6 ms
2025-09-10 17:00:50,85.6 ms
2025-09-10 17:00:55,85.6 ms
2025-09-10 17:01:00,85.7 ms
2025-09-10 17:01:05,85.7 ms
2025-09-10 17:01:10,85.8 ms
2025-09-10 17:01:15,85.8 ms
2025-09-10 17:01:20,85.8 ms
2025-09-10 17:01:25,85.8 ms
2025-09-10 17:01:30,85.9 ms
2025-09-10 17:01:35,85.9 ms
2025-09-10 17:01:40,85.8 ms
2025-09-10 17:01:45,85.8 ms
2025-09-10 17:01:50,85.8 ms
2025-09-10 17:01:55,85.8 ms
2025-09-10 17:02:00,85.8 ms
2025-09-10 17:02:05,85.8 ms
2025-09-10 17:02:10,85.9 ms
2025-09-10 17:02:15,85.9 ms
2025-09-10 17:02:20,85.9 ms
2025-09-10 17:02:25,85.9 ms
