"Time","signing","verifying"
2025-09-10 21:38:20,408 ms,172 ms
2025-09-10 21:38:25,408 ms,172 ms
2025-09-10 21:38:30,409 ms,172 ms
2025-09-10 21:38:35,409 ms,172 ms
2025-09-10 21:38:40,410 ms,172 ms
2025-09-10 21:38:45,410 ms,172 ms
2025-09-10 21:38:50,410 ms,172 ms
2025-09-10 21:38:55,410 ms,173 ms
2025-09-10 21:39:00,411 ms,173 ms
2025-09-10 21:39:05,411 ms,173 ms
2025-09-10 21:39:10,411 ms,173 ms
2025-09-10 21:39:15,411 ms,173 ms
2025-09-10 21:39:20,411 ms,173 ms
2025-09-10 21:39:25,411 ms,174 ms
2025-09-10 21:39:30,411 ms,174 ms
2025-09-10 21:39:35,411 ms,175 ms
2025-09-10 21:39:40,411 ms,175 ms
2025-09-10 21:39:45,411 ms,175 ms
2025-09-10 21:39:50,411 ms,175 ms
2025-09-10 21:39:55,411 ms,175 ms
2025-09-10 21:40:00,411 ms,175 ms
2025-09-10 21:40:05,411 ms,175 ms
2025-09-10 21:40:10,412 ms,175 ms
2025-09-10 21:40:15,412 ms,175 ms
2025-09-10 21:40:20,411 ms,175 ms
2025-09-10 21:40:25,411 ms,176 ms
2025-09-10 21:40:30,411 ms,176 ms
2025-09-10 21:40:35,411 ms,176 ms
2025-09-10 21:40:40,412 ms,176 ms
2025-09-10 21:40:45,412 ms,176 ms
2025-09-10 21:40:50,412 ms,176 ms
2025-09-10 21:40:55,412 ms,176 ms
2025-09-10 21:41:00,412 ms,176 ms
2025-09-10 21:41:05,412 ms,176 ms
2025-09-10 21:41:10,413 ms,176 ms
2025-09-10 21:41:15,413 ms,176 ms
2025-09-10 21:41:20,413 ms,176 ms
2025-09-10 21:41:25,413 ms,176 ms
